,precision,recall,f1-score,support
555∩╝êµÿƒτ⌐║τ╗åµö»∩╝ë,1.0,0.8571428571428571,0.9230769230769231,7.0
555∩╝êΘàìµû╣555┬╖ΘçæΘöÉ∩╝ë,0.0,0.0,0.0,4.0
555∩╝êΘçæ.ΘöÉ∩╝ë,0.0,0.0,0.0,2.0
555∩╝êΘçæ∩╝ë,0.0,0.0,0.0,1.0
555∩╝êσÅîσå░∩╝ë,0.0,0.0,0.0,4.0
555∩╝êσå░τé½∩╝ë,0.0,0.0,0.0,3.0
555∩╝êτ╗Åσà╕∩╝ë,0.0,0.0,0.0,1.0
Mecoµ₧£µ▒üΦî╢µíâµíâτ║óµƒÜ,0.0,0.0,0.0,5.0
Mecoµ₧£µ▒üΦî╢µ│░σ╝ÅΘ¥Æµƒá,0.0,0.0,0.0,9.0
Mecoτë¢Σ╣│Φî╢,0.0,0.0,0.0,3.0
RIOΦô¥,0.0,0.0,0.0,2.0
SPFµ░┤µ╢ªΣ┐¥µ╣┐Θÿ▓µÖÆΣ╣│,0.0,0.0,0.0,1.0
SZLτÖ╜ΘåïΦô¥,0.0,0.0,0.0,5.0
SZLτÖ╜Θåïτ╗┐,0.0,0.0,0.0,4.0
SeasirΘà▒µ▓╣99Θ▓£,0.0,0.0,0.0,1.0
SeasirΣ╕üΘªÖµûÖΘàÆ,0.0,0.0,0.0,3.0
SeasirΦÖ╛µ▓╣Θ£▓,0.0,0.0,0.0,2.0
SeasirτÖ╜τ▒│Θåï,0.0,0.0,0.0,2.0
VOSSτƒ┐µ│ëµ░┤,0.0,0.0,0.0,4.0
mecoµè╣Φî╢µï┐Θôü,0.0,0.0,0.0,1.0
mecoµíâµíâτ║óµƒÜ,0.0,0.0,0.0,1.0
others,0.0,0.0,0.0,1069.0
µ¡¬σÿ┤52σ║ª100ml,0.0,0.0,0.0,2.0
µ¢╝τºÇΘ¢╖µòªµû░τóºµ░┤µäƒΘÿ▓µÖÆΘ£▓,0.0,0.0,0.0,1.0
µ£¥µùÑΦ╢àτê╜τöƒσòñτë¢σìíτ║╕,0.0,0.0,0.0,3.0
µ£¥µùÑσòñΘàÆµ╕àτê╜,0.0,0.0,0.0,12.0
µ£¥µùÑσòñΘàÆΦ╢àτê╜,0.0,0.0,0.0,3.0
µ£ëµëÇµÇ¥µƒáµ¬¼µ▓Öµïëµ▒ü160ML,0.0,0.0,0.0,33.0
µ¥£σ║╖,0.0,0.0,0.0,2.0
µ¥ÄΘöªΦ«░µùºσ║äΦÜ¥µ▓╣510G,0.0,0.0,0.0,19.0
µ¥ÄΘöªΦ«░µ▓ÖΦî╢Θà▒,0.0,0.0,0.0,4.0
µ¥ÄΘöªΦ«░Θ¢╢µ╖╗σèáΘåçσæ│Θ▓£,0.0,0.0,0.0,20.0
µ¥ÄΘöªΦ«░ΘçæµáçΦÇüµè╜1.75L,0.0,0.0,0.0,24.0
µ¥ÄΘöªΦ«░Θçæµáçτöƒµè╜,0.0,0.0,0.0,23.0
µ¥ÄΘöªΦ«░Θôüσ╝║σîûΘçæµáçτöƒµè╜,0.0,0.0,0.0,5.0
µ¥ÄΘöªΦ«░ΘöªτÅìΘ▓£σæ│ΦÜ¥µ▓╣,0.0,0.0,0.0,27.0
µ¥ÄΘöªΦ«░ΘöªτÅìΦÇüµè╜,0.0,0.0,0.0,45.0
µ¥ÄΘöªΦ«░ΘöªτÅìτöƒµè╜,0.0,0.0,0.0,28.0
µ¥ÄΘöªΦ«░Θ╗äΦ▒åΘà▒800G,0.0,0.0,0.0,28.0
µ¥ÄΘöªΦ«░Θ▓£ΘªÖτ║óτâº,0.0,0.0,0.0,34.0
µ¥ÄΘöªΦ«░Σ╕ÇσôüΘ▓£,0.0,0.0,0.0,27.0
